variable,label,labelLong,variableType,databaseStart,variableStart,subject,section,units,description,version,lastUpdated,reviewNotes,ICES.confirmation,Observation..MD.,status
HUI06,HUI Hearing ability - in a group without a hearing aid,Hearing ability,Categorical,"cchs2001_m, cchs2003_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_06, cchs2003_m::HUIC_06, [HUI_06]",Health utility index,Health status,N/A,CEP-004: Fixed database typo (cchs_2009_2010_m) and source var typo (HUAC_06->HUIC_06),3.0.0-alpha,2026-01-26,CEP-004 review,Yes,,active
HUI07,HUI Hearing ability - in a group with a hearing aid,Hearing ability,Categorical,"cchs2001_m, cchs2003_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_07, cchs2003_m::HUIC_07, [HUI_07]",Health utility index,Health status,N/A,CEP-004: Fixed database typo (cchs_2009_2010_m),3.0.0-alpha,2026-01-26,CEP-004 review,Yes,,active
HUI07A,HUI Hearing ability -able to hear,Hearing ability,Categorical,"cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2013_2014_m, cchs2017_2018_m","cchs2001_m::HUIA_07A, cchs2003_m::HUIC_07A, cchs2005_m::HUIE_07A, cchs2017_2018_m::WDM_101, [HUI_07A]",Health utility index,Health status,N/A,"CEP-004: Fixed database typos, added 2005 and 2007-2008 cycles. 2017-2018 uses WDM_101 (4-point scale).",3.0.0-alpha,2026-01-26,CEP-004 review,Yes,,active
HUI08,HUI Hearing ability - able to hear in a quiet room without hearing aid,Hearing ability,Categorical,"cchs2001_m, cchs2003_m, cchs2009_2010_m, cchs2013_2014_m","cchs2001_m::HUIA_08, cchs2003_m::HUIC_08, [HUI_08]",Health utility index,Health status,N/A,CEP-004: Fixed database typo (cchs_2009_2010_m),3.0.0-alpha,2026-01-26,CEP-004 review,Yes,,active
HUI09,HUI Hearing ability - able to hear in a quiet room with hearing aid,Hearing ability,Categorical,"cchs2001_m, cchs2003_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","cchs2001_m::HUIA_09, cchs2003_m::HUIC_09, [HUI_09]",Health utility index,Health status,N/A,"CEP-004: Fixed database typo, corrected source var ([HUI_08]->[HUI_09]), added 2011-2012 cycle",3.0.0-alpha,2026-01-26,CEP-004 review,Yes,,active
