variable,label,labelLong,variableType,databaseStart,variableStart,subject,section,units,description,version,lastUpdated,reviewNotes,ICES.confirmation,Observation..MD.,status
SDCDCGT_cat13,Ethnicity,Cultural or racial origin - (D),Categorical,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, cchs2015_2016_m::SDCDVCGT, cchs2017_2018_m::SDCDVCGT,  [SDCDCGT]",Ethnicity,Sociodemographics,N/A,,2.2.0,2025-06-30,Variable metadata completed,Yes,,active
SDCDCGT_cat7,Ethnicity,Cultural origin,Categorical,"cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","cchs2003_m::SDCCDRAC, cchs2005_m::SDCEDCGT, cchs2015_2016_m::SDCDVCGT, cchs2017_2018_m::SDCDVCGT, [SDCDCGT]",Ethnicity,Sociodemographics,N/A,,2.2.0,2025-06-30,Variable metadata completed,Yes,,active
SDCGLNG,Languages - can converse in,Languages - can converse in,Categorical,"cchs2001_m, cchs2001_p, cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2007_2008_m, cchs2007_2008_p, cchs2009_2010_m, cchs2009_2010_p, cchs2009_m, cchs2009_s, cchs2010_m, cchs2010_p, cchs2010_s, cchs2019_m, cchs2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SDCAGLNG, cchs2003_p::SDCCGLNG, cchs2005_p::SDCEGLNG, cchs2009_m::SDCDLNG, cchs2010_m::SDCDLNG, cchs2001_m::SDCAGLNG, cchs2003_m::SDCCDLNG, cchs2005_m::SDCEDLNG, cchs2007_2008_m::SDCDLNG, cchs2009_2010_m::SDCDLNG, [SDCGLNG], cchs2019_m::SDC_025, cchs2020_m::SDC_025, cchs2021_m::SDC_025, cchs2022_m::LAN_01, cchs2023_m::LAN_01",Language,Sociodemographics,N/A,,2.2.0,2025-06-30,Variable metadata completed,,,active
