"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"SMK_005","SMK_005_cat3_1","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","","cat","1","3","Daily","Daily","N/A","1","Daily","Smoking freq (2015+)","Type of smoker presently","BACKWARD COMPATIBILITY: Superseded by SMK_202. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_005 is the 2015+ era-specific name.",""
"SMK_005","SMK_005_cat3_2","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","","cat","2","3","Occasionally","Occasionally","N/A","2","Occasionally","Smoking freq (2015+)","Type of smoker presently","BACKWARD COMPATIBILITY: Superseded by SMK_202. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_005 is the 2015+ era-specific name.",""
"SMK_005","SMK_005_cat3_3","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","","cat","3","3","Not at all","Not at all","N/A","3","Not at all","Smoking freq (2015+)","Type of smoker presently","BACKWARD COMPATIBILITY: Superseded by SMK_202. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_005 is the 2015+ era-specific name.",""
"SMK_005","SMK_005_cat3_NAb","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","","cat","NA::b","3","Missing","missing","N/A","[7,9]","don't know (7); refusal (8); not stated (9)","Smoking freq (2015+)","Type of smoker presently","BACKWARD COMPATIBILITY: Superseded by SMK_202. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_005 is the 2015+ era-specific name.",""
"SMK_005","SMK_005_cat3_NAb","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","","cat","NA::b","3","Missing","missing","N/A","else","else","Smoking freq (2015+)","Type of smoker presently","BACKWARD COMPATIBILITY: Superseded by SMK_202. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_005 is the 2015+ era-specific name.",""
"SMK_030","SMK_030_cat2_1","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","","cat","1","2","Yes","yes","N/A","1","Yes","Ever daily (2015+)","Smoked daily - lifetime","BACKWARD COMPATIBILITY: Superseded by SMK_05D. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_030 is the 2015+ era-specific name.",""
"SMK_030","SMK_030_cat2_2","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","","cat","2","2","No","no","N/A","2","No","Ever daily (2015+)","Smoked daily - lifetime","BACKWARD COMPATIBILITY: Superseded by SMK_05D. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_030 is the 2015+ era-specific name.",""
"SMK_030","SMK_030_cat2_NAa","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","","cat","NA::a","2","not applicable","not applicable","N/A","6","not applicable","Ever daily (2015+)","Smoked daily - lifetime","BACKWARD COMPATIBILITY: Superseded by SMK_05D. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_030 is the 2015+ era-specific name.",""
"SMK_030","SMK_030_cat2_NAb","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","","cat","NA::b","2","Missing","missing","N/A","[7,9]","don't know (7); refusal (8); not stated (9)","Ever daily (2015+)","Smoked daily - lifetime","BACKWARD COMPATIBILITY: Superseded by SMK_05D. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_030 is the 2015+ era-specific name.",""
"SMK_030","SMK_030_cat2_NAb","cat","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","","cat","NA::b","2","Missing","missing","N/A","else","else","Ever daily (2015+)","Smoked daily - lifetime","BACKWARD COMPATIBILITY: Superseded by SMK_05D. Era-specific pass-through (2015-2018 PUMF and Master).","3.0.0-alpha","2026-01-05","active","v3.0.0: Maintained for backward compatibility. SMK_030 is the 2015+ era-specific name.",""
