filename,collection,cycle,file_size_bytes,sha256
"cchs_2009d_dv_m_en_1_v1.pdf","master","",620706,"b773899e79d97918bc4f3ac9683d783625e04c5394df2bbf368d2534bcb0bffd"
"cchs_2009d_dv_m_en_2_v1.pdf","master","",897280,"7c4d48083a8a9390428befb687ee3dd707470de02302547ed25298a61339bea6"
"cchs_2009d_qu_m_en_1_v1.pdf","master","",1483040,"77d898be759b829e32e2bf78caca65d53456816382f84d82dcedc9ed074e096d"
"cchs_2009d_ug_m_en_1_v1.pdf","master","",822144,"75f9eecc232a6d67833b2007b7b09025b3576c6adbbe3d148a23ad901ac26b58"
"cchs_2010d_dd_m_en_1_v1.pdf","master","",3552708,"480896e925753e95cdc7cba14e66eadcc138a10d5ab1011fba50473747460a6d"
"cchs_2010d_dv_m_en_1_v1.pdf","master","",1334091,"587fe078be440fc96089f3af6e7e0aac8a255dc0ebe38f5664ba5e607c2c96ce"
"cchs_2010d_qu_m_en_1_v1.pdf","master","",1851816,"15352a6551d6f306a354e58f974ba3b2c06725ae401147f3278625784f002861"
"cchs_2010d_ug_m_en_1_v1.pdf","master","",2503012,"981c4d7a49d16a9c0f2a3638622221e8a963e1aafcf4fcc5334b1dad6c352395"
"cchs_2011s_dd_m_en_1_v1.pdf","master","",3106168,"f101c452036758a64bd782169dd822109405b368ef0074ff32d03e7a609ddd0d"
"cchs_2011s_dd_m_en_2_v1.pdf","master","",1567695,"fb1e94db47a1726138a0cf66278e9b96282f9505c9a7d13de46c1e07a3903f7c"
"cchs_2011s_dv_m_en_1_v1.pdf","master","",1253494,"10c3f48c9f6a1eac24d9164eb3a87d0158a88680319bf45888bd059d2838820e"
"cchs_2011s_qu_m_en_1_v1.pdf","master","",2156200,"2098f11ee2d1f5533463736f41cdf8ef2b4a46c221fa083bffd3276e7778a46e"
"cchs_2011s_ug_m_en_1_v1.pdf","master","",2031363,"4e412352c8c99ca94901cb6f219ff933499c6ea6c6ce54b2458bca49402768ad"
"cchs_2012s_dd_m_en_1_v1.pdf","master","",3259620,"4bb83ffc8c69fbb143952cda6713d9e681ede6b231cdd0e9ce9242a61e2c1c0c"
"cchs_2012s_dv_m_en_1_v1.pdf","master","",1094759,"16aa5ab9989a4f1b33223327ecec7f46f4a77cd67213e51b46f300b6f24193d6"
