"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","versionNotes","review"
"pct_time_der","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","DerivedVar::[DHHGAGE_cont, SDCGCBG, SDCGRES_cont]",NA,"N/A","Func::calculate_pct_time","N/A","N/A","N/A","%","N/A","N/A","Percent time in Canada","Percentage of time in Canada","Percent time in Canada derived from Age, immigration status, and time in Canada variables. Valid range: 0-100. Output boundary enforced in DV function; see calculate_pct_time(). Documentation only in variable_details, ready for use in future validation framework.","2.2.0","2025-11-18","active",NA,NA,NA
"pct_time_der","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2015_2016_p, cchs2017_2018_p","DerivedVar::[DHHGAGE_cont, SDCGCBG, SDCGRES_cont]",NA,"N/A","NA::b","N/A","missing","missing","%","N/A","N/A","Percent time in Canada","Percentage of time in Canada","","2.2.0","2025-11-18","active",NA,NA,NA
"pct_time_der","N/A","cont","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[DHH_AGE, SDCGCB, SDCDRES]",NA,"N/A","Func::calculate_pct_time","N/A","N/A","N/A","%","N/A","N/A","Percent time in Canada","Percentage of time in Canada","Percent time in Canada derived from continuous Age, immigration status, and continuous time in Canada variables (master files). Valid range: 0-100. Output boundary enforced in DV function; see calculate_pct_time(). Documentation only in variable_details, ready for use in future validation framework.","3.0.0","2026-02-06","active",NA,NA,NA
"pct_time_der","N/A","cont","cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m","DerivedVar::[DHH_AGE, SDCGCB, SDCDRES]",NA,"N/A","NA::b","N/A","missing","missing","%","N/A","N/A","Percent time in Canada","Percentage of time in Canada","","3.0.0","2026-02-06","active",NA,NA,NA
