"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"age_start_smoking","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMK_040, SMKG040_cont]","","N/A","Func::calculate_age_start_smoking","N/A","N/A","N/A","years","N/A","Age started daily","Age daily (unified)","Unified age started smoking daily - combines SMK_040 and SMKG040_cont","Priority: SMK_040 (Master exact) > SMKG040_cont (PUMF midpoint). Master provides exact continuous values; PUMF provides ~±3 years midpoint estimation from categorical groupings.","3.0.0-alpha","2026-01-09","active","New unified DV following time_quit_smoking pattern.",""
"age_start_smoking","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMK_040, SMKG040_cont]","","N/A","NA::a","N/A","N/A","Not applicable","years","N/A","Not applicable","Age daily (unified)","Age started smoking daily - not applicable","Never-daily smokers (SMKDSTY 3, 5, 6) have no age started daily.","3.0.0-alpha","2026-01-09","active","New unified DV following time_quit_smoking pattern.",""
"age_start_smoking","N/A","cont","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMK_040, SMKG040_cont]","","N/A","NA::b","N/A","N/A","Missing","years","N/A","Missing","Age daily (unified)","Age started smoking daily - missing","Missing input data from both SMK_040 and SMKG040_cont.","3.0.0-alpha","2026-01-09","active","New unified DV following time_quit_smoking pattern.",""
