"variable","label","labelLong","variableType","databaseStart","variableStart","subject","section","units","notes","description","version","lastUpdated","status","reviewNotes","ICES.confirmation","Observation..MD."
"SMK_01A","Smoked 100+ cigs","Ever smoked 100 or more cigarettes in lifetime","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKA_01A, cchs2003_p::SMKC_01A, cchs2005_p::SMKE_01A, cchs2007_2008_p::SMK_01A, cchs2009_2010_p::SMK_01A, cchs2011_2012_p::SMK_01A, cchs2013_2014_p::SMK_01A, cchs2015_2016_p::SMK_020, cchs2017_2018_p::SMK_020, cchs2019_2020_p::SMK_020, cchs2021_p::SMK_020, cchs2001_m::SMKA_01A, cchs2003_m::SMKC_01A, cchs2005_m::SMKE_01A, cchs2007_2008_m::SMK_01A, cchs2009_2010_m::SMK_01A, cchs2011_2012_m::SMK_01A, cchs2013_2014_m::SMK_01A, cchs2015_2016_m::SMK_020, cchs2017_2018_m::SMK_020, cchs2019_2020_m::SMK_020, cchs2021_m::SMK_020, cchs2022_m::CSS_15, cchs2023_m::CSS_15, [SMK_01A]","Smoking","Health behaviour","N/A","Universe: Respondents who have smoked at least one whole cigarette. Available 2001-2021 PUMF, 2001-2023 Master. For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended to 2022-2023 Master files via CSS_15. PUMF coverage ends at 2021. For PUMF-only analyses requiring 2022-2023, no direct equivalent available.","Yes",""
"SMK_202","Smoking freq","Current cigarette smoking frequency (daily, occasional, not at all)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKA_202, cchs2003_p::SMKC_202, cchs2005_p::SMKE_202, cchs2007_2008_p::SMK_202, cchs2009_2010_p::SMK_202, cchs2011_2012_p::SMK_202, cchs2013_2014_p::SMK_202, cchs2015_2016_p::SMK_005, cchs2017_2018_p::SMK_005, cchs2019_2020_p::SMK_005, cchs2021_p::SMK_005, cchs2022_p::CSS_05, cchs2023_p::CSS_05, cchs2001_m::SMKA_202, cchs2003_m::SMKC_202, cchs2005_m::SMKE_202, cchs2007_2008_m::SMK_202, cchs2009_2010_m::SMK_202, cchs2011_2012_m::SMK_202, cchs2013_2014_m::SMK_202, cchs2015_2016_m::SMK_005, cchs2017_2018_m::SMK_005, cchs2019_2020_m::SMK_005, cchs2021_m::SMK_005, cchs2022_m::CSS_05, cchs2023_m::CSS_05, [SMK_202]","Smoking","Health behaviour","N/A","Universe: All respondents aged 12+. Full coverage 2001-2023 PUMF and Master. Maps to: SMKA_202 (2001), SMKC_202 (2003), SMKE_202 (2005), SMK_202 (2007-2014), SMK_005 (2015-2021), CSS_05 (2022-2023). {recommended:secondary}","","3.0.0-alpha","2026-01-04","active","v3.0.0: Full cycle coverage 2001-2023 for both PUMF and Master. Source variable naming changed from SMK_202 to SMK_005 in 2015 and to CSS_05 in 2022. Recommended for cross-cycle current smoking status analyses.","",""
"SMK_05D","Ever daily (occ)","Ever smoked cigarettes daily (asked of occasional smokers)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKA_05D, cchs2003_p::SMKC_05D, cchs2005_p::SMKE_05D, cchs2007_2008_p::SMK_05D, cchs2009_2010_p::SMK_05D, cchs2011_2012_p::SMK_05D, cchs2013_2014_p::SMK_05D, cchs2015_2016_p::SMK_030, cchs2017_2018_p::SMK_030, cchs2019_2020_p::SMK_030, cchs2021_p::SMK_030, cchs2001_m::SMKA_05D, cchs2003_m::SMKC_05D, cchs2005_m::SMKE_05D, cchs2007_2008_m::SMK_05D, cchs2009_2010_m::SMK_05D, cchs2011_2012_m::SMK_05D, cchs2013_2014_m::SMK_05D, cchs2015_2016_m::SMK_030, cchs2017_2018_m::SMK_030, cchs2019_2020_m::SMK_030, cchs2021_m::SMK_030, cchs2022_m::SPU_05, cchs2023_m::SPU_05, [SMK_05D]","Smoking","Health behaviour","N/A","Universe: Occasional and non-smokers only. Available 2001-2021 PUMF, 2001-2023 Master. Maps to: SMKA_05D (2001), SMKC_05D (2003), SMKE_05D (2005), SMK_05D (2007-2014), SMK_030 (2015-2021), SPU_05 (2022-2023). For 2022-2023 PUMF analyses, use SMKDSTY-based variables.","","3.0.0-alpha","2026-01-04","active","v3.0.0: Extended to 2022-2023 Master files via SPU_05. PUMF coverage ends at 2021. Source variable naming changed from SMK_05D to SMK_030 in 2015. For PUMF-only 2022-2023 analyses, use SMKDSTY-based variables instead.","","the same variable exist but the label does not say 'occasional'"
"SMK_005","Smoking freq (2015+)","Type of smoker presently (2015+ era-specific name for SMK_202)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_005]","Smoking","Health behaviour","N/A","{absorbed_by:SMK_202} BACKWARD COMPATIBILITY: Fully absorbed by SMK_202 which covers all cycles (2001-2023). Era-specific pass-through (2015-2018 PUMF and Master). Users should migrate to SMK_202 for new analyses.","","3.1.0","2026-01-15","active","v3.1.0: Added {absorbed_by:SMK_202} tag. Maintained for v2.1 backward compatibility only. SMK_005 is the 2015+ era-specific source name; SMK_202 is the harmonized output covering all cycles. Will be deprecated in future release.","",""
"SMK_030","Ever daily (2015+)","Smoked daily - lifetime (2015+ era-specific name for SMK_05D)","Categorical","cchs2015_2016_p, cchs2017_2018_p, cchs2015_2016_m, cchs2017_2018_m","[SMK_030]","Smoking","Health behaviour","N/A","{absorbed_by:SMK_05D} BACKWARD COMPATIBILITY: Fully absorbed by SMK_05D which covers all cycles (2001-2023). Era-specific pass-through (2015-2018 PUMF and Master). Users should migrate to SMK_05D for new analyses.","","3.1.0","2026-01-15","active","v3.1.0: Added {absorbed_by:SMK_05D} tag. Maintained for v2.1 backward compatibility only. SMK_030 is the 2015+ era-specific source name; SMK_05D is the harmonized output covering all cycles. Will be deprecated in future release.","",""
"SMKDSTY","Smoking type","Type of smoker derived (6-category)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY","Smoking","Health behaviour","N/A","Raw pass-through of StatCan derived variable. CAUTION: Category meanings changed in 2015 (cat 3 was always occasional, became former daily; cat 5 was former occasional, became experimental). For harmonized 6-category analysis use SMKDSTY_cat6. For cross-cycle trend analysis use SMKDSTY_cat5 (avoids semantic break). For simple prevalence use SMKDSTY_cat3.","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)","3.0.0-alpha","2026-01-14","active","v3.0.0: NEW variable. Raw pass-through of StatCan derived smoking status. Required for pack-years calculation. CAUTION: Category 5 meaning changed in 2015 (former occasional -> experimental smoker). For comparable cross-cycle analyses, use SMKDSTY_cat3 or SMKDSTY_cat5 instead.","",""
"SMKDSTY_cat6","Smoking (6-cat harmonized)","Type of smoker (6-category, harmonized with pre-2015 category structure)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, [SMKDSTY], DerivedVar::[SMK_202, SMK_05D, SMK_01A]","Smoking","Health behaviour","N/A","{recommended:primary} {sub_subject:status} {previous_name:SMKDSTY_A} Provides consistent 6-category classification across all cycles using pre-2015 category semantics. Categories: 1=Daily, 2=Occasional (former daily), 3=Always occasional, 4=Former daily, 5=Former occasional, 6=Never. PUMF coverage: 2001-2021, 2023 (2022 PUMF gap due to SPU_05 universe restriction). Master coverage: 2001-2023. Required for pack-years calculation. Use calculate_SMKDSTY_cat6() for 2015+ derivation.","2015 onwards for smoke status still has 6 categories, but removed 'always occasional' (Never daily current occasional smoker) and added 'experimental' (at least 1 cig, non-smoker now)","3.1.0","2026-01-14","active","v3.1.0 (2026-01-14): Renamed from SMKDSTY_A to SMKDSTY_cat6 for self-documenting naming parallel to _cat5/_cat3. Updated PUMF coverage to 2001-2021, 2023 (2022 gap documented). 2023 fix confirmed: SPU_05 universe restored.","Yes","SMKDSTY_fun is used to harmonize this var until 2023. SMKDSTY_fun can be applied to 2022 and 2023 cycles because SMK_005 was extended until 2023."
"SMKDSTY_cat3","Smoking (3-cat)","Smoking status (3-category): current, former, never","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY, [SMKDSTY]","Smoking","Health behaviour","N/A","{recommended:secondary} Maximum cross-cycle comparability. Full PUMF/Master coverage 2001-2023. Collapses to current/former/never. Recommended for simple prevalence estimates and when maximum comparability is needed.","Re-categorization of SMKDSTY to be used for smoking imputation","3.0.0-alpha","2026-01-14","active","v3.0.0: Recommended for cross-cycle comparisons. Collapses to current/former/never, avoiding all semantic breaks. Full PUMF and Master coverage 2001-2023.","",""
"SMKDSTY_cat5","Smoking (5-cat)","Smoking status (5-category): daily, occasional, former daily, former occasional, never","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","cchs2001_p::SMKADSTY, cchs2003_p::SMKCDSTY, cchs2005_p::SMKEDSTY, cchs2007_2008_p::SMKDSTY, cchs2009_2010_p::SMKDSTY, cchs2011_2012_p::SMKDSTY, cchs2013_2014_p::SMKDSTY, cchs2015_2016_p::SMKDVSTY, cchs2017_2018_p::SMKDVSTY, cchs2019_2020_p::SMKDVSTY, cchs2021_p::SMKDVSTY, cchs2022_p::SMKDVSTY, cchs2023_p::SMKDVSTY, cchs2001_m::SMKADSTY, cchs2003_m::SMKCDSTY, cchs2005_m::SMKEDSTY, cchs2007_2008_m::SMKDSTY, cchs2009_2010_m::SMKDSTY, cchs2011_2012_m::SMKDSTY, cchs2013_2014_m::SMKDSTY, cchs2015_2016_m::SMKDVSTY, cchs2017_2018_m::SMKDVSTY, cchs2019_2020_m::SMKDVSTY, cchs2021_m::SMKDVSTY, cchs2022_m::SMKDVSTY, cchs2023_m::SMKDVSTY, [SMKDSTY]","Smoking","Health behaviour","N/A","{recommended:secondary} 5-category avoiding semantic break. Full PUMF/Master coverage 2001-2023 (including 2022 PUMF). Merges: pre-2015 cats 2+3 → occasional; post-2015 cats 4+5 → former other. Use for cessation variable routing and trend analysis when 2022 PUMF coverage needed.","Re-categorization of SMKDSTY to be used for smoking imputation. Prior to 2015, 'occasional' and 'always occasional' are combined to form the current 'occasional' category. 2015 onwards, 'former occasional' and 'experimental' are combined to form the current 'former occasional' category","3.0.0-alpha","2026-01-14","active","v3.0.0: Recommended when more detail than 3-category is needed but cross-cycle comparability is required. Merges categories to avoid the 2015 semantic break on category 5. Full PUMF and Master coverage 2001-2023.","Yes",""
