variable,dummyVariable,typeEnd,databaseStart,variableStart,ICES.confirmation,typeStart,recEnd,numValidCat,catLabel,catLabelLong,units,recStart,catStartLabel,variableStartShortLabel,variableStartLabel,notes,version,lastUpdated,status,reviewNotes,versionNotes,review
PAC_7B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],NA,cat,45,N/A,converted minutes (31-60 min),converted minutes (31-60 min),mins,3,converted minutes (31-60 min),Time walk work/school,Time spent - walking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_7B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],NA,cat,70,N/A,converted minutes (>60 min),converted minutes (>60 min),mins,4,converted minutes (>60 min),Time walk work/school,Time spent - walking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_7B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],NA,cat,NA::a,N/A,not applicable,not applicable,mins,6,not applicable,Time walk work/school,Time spent - walking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_7B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],NA,cat,NA::b,N/A,missing,missing,mins,"[7,9]",don't know (7); refusal (8); not stated (9),Time walk work/school,Time spent - walking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_7B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_7B],NA,cat,NA::b,N/A,missing,missing,mins,else,else,Time walk work/school,Time spent - walking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8,PAC_8_cat3_1,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],NA,cat,1,3,Yes,Yes,N/A,1,Yes,Bike to work/school,Bicycled to work or school / last 3 mo.,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8,PAC_8_cat3_2,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],NA,cat,2,3,No,No,N/A,2,No,Bike to work/school,Bicycled to work or school / last 3 mo.,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8,PAC_8_cat3_3,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],NA,cat,3,3,No work/no school,No work/no school,N/A,3,No work/no school,Bike to work/school,Bicycled to work or school / last 3 mo.,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8,PAC_8_cat3_NAa,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],NA,cat,NA::a,3,not applicable,not applicable,N/A,6,not applicable,Bike to work/school,Bicycled to work or school / last 3 mo.,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8,PAC_8_cat3_NAb,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],NA,cat,NA::b,3,missing,missing,N/A,"[7,9]",don't know (7); refusal (8); not stated (9),Bike to work/school,Bicycled to work or school / last 3 mo.,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8,PAC_8_cat3_NAb,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8],NA,cat,NA::b,3,missing,missing,N/A,else,else,Bike to work/school,Bicycled to work or school / last 3 mo.,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8A,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8A],NA,cont,copy,N/A,No. of times/3 mo./biking work/school,No. of times biking work/school,times/3 mos.,"[1,270]",No. of times biking work/school,Number times bike work/school,No. of times/3 mo./bicycl. work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8A,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8A],NA,cont,NA::a,N/A,not applicable,not applicable,times/3 mos.,996,not applicable,Number times bike work/school,No. of times/3 mo./bicycl. work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8A,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8A],NA,cont,NA::b,N/A,missing,missing,times/3 mos.,"[997,999]",don't know (997); refusal (998); not stated (999),Number times bike work/school,No. of times/3 mo./bicycl. work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8A,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8A],NA,cont,NA::b,N/A,missing,missing,times/3 mos.,else,else,Number times bike work/school,No. of times/3 mo./bicycl. work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_1,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,1,4,1 to 15 minutes,1 to 15 minutes,mins,1,1 to 15 minutes,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_2,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,2,4,16 to 30 minutes,16 to 30 minutes,mins,2,16 to 30 minutes,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_3,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,3,4,31 to 60 minutes,31 to 60 minutes,mins,3,31 to 60 minutes,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_4,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,4,4,More than 1 hour,More than 1 hour,mins,4,More than 1 hour,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_NAa,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,NA::a,4,not applicable,not applicable,mins,6,not applicable,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_NAb,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,NA::b,4,missing,missing,mins,"[7,9]",don't know (7); refusal (8); not stated (9),Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B,PAC_8B_cat4_NAb,cat,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,NA::b,4,missing,missing,mins,else,else,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,7,N/A,converted minutes (1-15 min),converted minutes (1-15 min),mins,1,converted minutes (1-15 min),Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,23,N/A,converted minutes (16-30 min),converted minutes (16-30 min),mins,2,converted minutes (16-30 min),Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,45,N/A,converted minutes (31-60 min),converted minutes (31-60 min),mins,3,converted minutes (31-60 min),Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,70,N/A,converted minutes (>60 min),converted minutes (>60 min),mins,4,converted minutes (>60 min),Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,NA::a,N/A,not applicable,not applicable,mins,6,not applicable,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,NA::b,N/A,missing,missing,mins,"[7,9]",don't know (7); refusal (8); not stated (9),Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAC_8B_cont,N/A,cont,"cchs2007_2008_p, cchs2009_2010_p, cchs2010_p, cchs2011_2012_p, cchs2012_p, cchs2013_2014_p, cchs2014_p, cchs2007_2008_m, cchs2009_2010_m, cchs2009_m, cchs2010_m, cchs2011_2012_m, cchs2012_m, cchs2013_2014_m",[PAC_8B],NA,cat,NA::b,N/A,missing,missing,mins,else,else,Time bike work/school,Time spent - biking to go work/school,NA,2.2.0,2025-11-18,active,NA,NA,NA
PAYDVTTR,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAYDVTTR],NA,cont,copy,N/A,No. minutes of active transportation,No. minutes of active transportation,minutes/week,"[0,6300]",No. minutes of active transportation,Active transportation (12-17 years old),Time spent - active transportation in a week (12-17 years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAYDVTTR,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAYDVTTR],NA,cont,NA::a,N/A,not applicable,not applicable,minutes/week,99996,not applicable,Active transportation (12-17 years old),Time spent - active transportation in a week (12-17 years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAYDVTTR,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAYDVTTR],NA,cont,NA::b,N/A,missing,missing,minutes/week,"[99997,99999]",don't know (99997); refusal (99998); not stated (99999),Active transportation (12-17 years old),Time spent - active transportation in a week (12-17 years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
PAYDVTTR,N/A,cont,"cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m",[PAYDVTTR],NA,cont,NA::b,N/A,missing,missing,minutes/week,else,else,Active transportation (12-17 years old),Time spent - active transportation in a week (12-17 years old),NA,2.2.0,2025-11-18,active,NA,NA,NA
