"variable","label","labelLong","variableType","databaseStart","variableStart","subject","section","units","notes","description","version","lastUpdated","reviewNotes","ICES.confirmation","Observation..MD.","status"
"pack_years_der","Pack-years","Cumulative smoking exposure in pack-years (derived)","Continuous","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[SMKDSTY_A, DHHGAGE_cont, SMKG203_cont, SMKG207_cont, SMKG01C_cont, time_quit_smoking, SMK_204, SMK_208, SMK_05B, SMK_05C, SMK_01A]","smoking","Health behaviour","pack-years","{recommended:primary} {sub_subject:pack-years} PUMF uses DHHGAGE_cont/SMKG*_cont (midpoint). Master uses DHH_AGE/SMK_* (true continuous). 2001 available via SMK_09 proxy.","Pack-years of smoking exposure calculated from status, initiation age, intensity, and cessation timing. Formula: (cigarettes_per_day / 20) * years_smoked.","3.0.0-alpha","2026-01-04","L5 testing complete (28 tests). Output validated against [0,165] bounds.",NA,NA,"active"
"pack_years_cat","Pack-years (5-cat)","Cumulative smoking exposure in pack-years (5-category)","Categorical","cchs2001_p, cchs2003_p, cchs2005_p, cchs2007_2008_p, cchs2009_2010_p, cchs2011_2012_p, cchs2013_2014_p, cchs2015_2016_p, cchs2017_2018_p, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p, cchs2001_m, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m","DerivedVar::[pack_years_der]","smoking","Health behaviour","N/A","Categories: 0=Never (0), 1=Light (<10), 2=Moderate (10-20), 3=Heavy (20-30), 4=Very heavy (30+). DEFERRED pending epidemiological review. {recommended:secondary}","Categorical grouping of pack-years for epidemiological analysis.","3.0.0-alpha","2026-01-04","DEFERRED: Category boundaries (0, <10, 10-20, 20-30, 30+) require epidemiological review before activation. Literature shows varying cut-points.",NA,NA,"pending"
