"variable","dummyVariable","typeEnd","databaseStart","variableStart","ICES.confirmation","typeStart","recEnd","numValidCat","catLabel","catLabelLong","units","recStart","catStartLabel","variableStartShortLabel","variableStartLabel","notes","version","lastUpdated","status","reviewNotes","review"
"SMKDGSTP","SMKDGSTP_NAa","cat","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","","cat","NA::a","5","Not applicable","Not applicable","N/A","6","Valid skip","Yrs quit (P cat)","Years since quit smoking (PUMF grouped categorical)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only. DDI shows 5 categories (0-4).",""
"SMKDGSTP","SMKDGSTP_NAb","cat","cchs2015_2016_p, cchs2017_2018_p","cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP","","cat","NA::b","5","Not stated","Not stated","N/A","9","Not stated","Yrs quit (P cat)","Years since quit smoking (PUMF grouped categorical)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF categorical 2015+ only. DDI shows 5 categories (0-4).",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","cchs2007_2008_p::SMKDSTP, cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP, cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP","","cont","NA::a","N/A","N/A","Not applicable","years","996","Not applicable","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","cchs2007_2008_p::SMKDSTP, cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP, cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP","","cont","NA::b","N/A","N/A","Catch-all missing","years","else","else","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_p, cchs2015_2016_p, cchs2017_2018_p, cchs2003_m, cchs2005_m, cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m, cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","cchs2007_2008_p::SMKDSTP, cchs2015_2016_p::SMKDGSTP, cchs2017_2018_p::SMKDGSTP, cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP, cchs2007_2008_m::SMKDSTP, cchs2009_2010_m::SMKDSTP, cchs2011_2012_m::SMKDSTP, cchs2013_2014_m::SMKDSTP, cchs2015_2016_m::SMKDVSTP, cchs2017_2018_m::SMKDVSTP, cchs2019_2020_m::SMKDVSTP, cchs2021_m::SMKDVSTP, cchs2022_m::SMKDVSTP","","cont","NA::b","N/A","N/A","Don't know/Refusal/Not stated","years","[97,99]","Missing","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2003_m, cchs2005_m","cchs2003_m::SMKCDSTP, cchs2005_m::SMKEDSTP","","cont","copy","N/A","N/A","Years since quit","years","[0,79]","Years since quit","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_m, cchs2009_2010_m, cchs2011_2012_m, cchs2013_2014_m","[SMKDSTP]","","cont","copy","N/A","N/A","Years since quit","years","[0,82]","Years since quit","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_m, cchs2017_2018_m, cchs2019_2020_m, cchs2021_m, cchs2022_m","[SMKDVSTP]","","cont","copy","N/A","N/A","Years since quit","years","[0,88]","Years since quit","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_p","[SMKDSTP]","","cont","copy","N/A","N/A","Years since quit","years","[0,82]","Years since quit","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","0.5","N/A","N/A","<1 year midpoint","years","0","<1 year","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","1.5","N/A","N/A","1-2 years midpoint","years","1","1-2 years","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","4.0","N/A","N/A","3-5 years midpoint","years","2","3-5 years","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","8.0","N/A","N/A","6-10 years midpoint","years","3","6-10 years","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","15.0","N/A","N/A","11+ years midpoint","years","4","11+ years","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_p","[SMKDSTP]","","cont","NA::a","N/A","N/A","Not applicable","years","996","Not applicable","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cont","NA::a","N/A","N/A","Valid skip","years","6","Valid skip","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","NA::b","N/A","N/A","Not stated","years","9","Not stated","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2007_2008_p","[SMKDSTP]","","cat","NA::b","N/A","N/A","Missing","years","999","Not stated","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMKDGSTP_cont","N/A","cont","cchs2015_2016_p, cchs2017_2018_p","[SMKDGSTP]","","cat","NA::b","N/A","N/A","Not stated","years","else","else","Yrs quit (unified)","Years since quit smoking (PUMF pseudo-continuous + Master)","","3.0.0-alpha","2026-01-05","active","Split from SMKDSTP 2026-01-05. PUMF 2007-2014 continuous, PUMF 2015+ midpoint, Master pass-through.",""
"SMK_10_gate","SMK_10_gate_1","cat","cchs2003_m, cchs2003_p, cchs2005_m, cchs2005_p, cchs2007_2008_m, cchs2007_2008_p, cchs2009_2010_m, cchs2009_2010_p, cchs2011_2012_m, cchs2011_2012_p, cchs2013_2014_m, cchs2013_2014_p, cchs2015_2016_m, cchs2015_2016_p, cchs2017_2018_m, cchs2017_2018_p, cchs2019_2020_m, cchs2021_m, cchs2022_m, cchs2023_m, cchs2019_2020_p, cchs2021_p, cchs2022_p, cchs2023_p","cchs2003_m::SMKC_10, cchs2003_p::SMKC_10, cchs2005_m::SMKE_10, cchs2005_p::SMKE_10, cchs2007_2008_m::SMK_10, cchs2007_2008_p::SMK_10, cchs2009_2010_m::SMK_10, cchs2009_2010_p::SMK_10, cchs2011_2012_m::SMK_10, cchs2011_2012_p::SMK_10, cchs2013_2014_m::SMK_10, cchs2013_2014_p::SMK_10, cchs2015_2016_m::SMK_095, cchs2015_2016_p::SMK_095, cchs2017_2018_m::SMK_095, cchs2017_2018_p::SMK_095, cchs2019_2020_m::SMK_095, cchs2021_m::SMK_095, cchs2022_m::SPU_30, cchs2023_m::SPU_30","","cat","1","2","Yes","Quit completely when stopped daily","","1","Yes","Quit gate","Quit smoking completely when stopped daily","","3.0.0-alpha","2026-01-04","active","NEW: Quit gate (quit completely when stopped daily). Master/PUMF 2003-2023. Extended PUMF to 2019-2023 (2021_p, 2023_p need DDI confirmation).",""
